artifact,level,condition,dice_WT_mean,dice_WT_std,iou_WT_mean,iou_WT_std,dice_TC_mean,dice_TC_std,iou_TC_mean,iou_TC_std,dice_ET_mean,dice_ET_std,iou_ET_mean,iou_ET_std,dice_class_1_mean,dice_class_1_std,dice_class_2_mean,dice_class_2_std,dice_class_3_mean,dice_class_3_std,pred_voxels_WT_mean,pred_voxels_WT_std,true_voxels_WT_mean,true_voxels_WT_std
blur,1,blur_L1,0.937965563672728,0.020433854049259972,0.8835267379243679,0.03623960687538907,0.9317737500414915,0.02597079886880077,0.8728160367756239,0.045532047739173645,0.8934987009747175,0.004545712440816258,0.8075142605718231,0.007425603628744994,0.82950419021171,0.10133108619178254,0.9217535086533017,0.04304533431964609,0.8934987009747175,0.004545712440816258,142178.0,62218.32567660432,157737.5,76709.06494346024
blur,2,blur_L2,0.9373568799766199,0.020588220638353697,0.8824527308711662,0.03647165396750988,0.9341645494067703,0.012441306690175248,0.8765901086568983,0.02190510088639298,0.8734715892013343,0.000595747194470873,0.7753660364838878,0.000938874976678846,0.8017118357350645,0.11501588538328153,0.9168265720884431,0.04205476241942676,0.8734715892013343,0.000595747194470873,142847.5,62245.902841070594,157737.5,76709.06494346024
blur,3,blur_L3,0.9358383378962647,0.015488141737311455,0.879612770963604,0.027356472277337292,0.9288103911587435,0.0007260707188567777,0.8670835143740094,0.001265541280694074,0.8361815410791457,0.012539500964315001,0.7185808320257654,0.018516759066008782,0.763659225871427,0.1219251077376456,0.9082722498646753,0.032208002699156454,0.8361815410791457,0.012539500964315001,147181.5,61834.36669442002,157737.5,76709.06494346024
blur,4,blur_L4,0.9262049848988677,0.004407760258869277,0.862568573846475,0.007645552106095305,0.913303503226228,0.001915243804041125,0.8404431339920098,0.0032436814874474,0.8031829130287746,0.020628898706218823,0.6713474111655919,0.028808125170618253,0.7147723461588968,0.13563288502056228,0.889861283215245,0.015034950178203828,0.8031829130287746,0.020628898706218823,152973.5,61264.43862878366,157737.5,76709.06494346024
blur,5,blur_L5,0.912869828184499,0.006184026786183312,0.8397358570511668,0.010465145862435228,0.883203439043228,0.02410670737943184,0.7912537663540011,0.03866526088761549,0.7772153702497202,0.01943351855119125,0.6358175966153359,0.025997784758420482,0.6305862615759541,0.1663349735205605,0.8624386538513666,0.007922499601417046,0.7772153702497202,0.01943351855119125,158549.5,61434.14425626844,157737.5,76709.06494346024
contrast,1,contrast_L1,0.9379510694155665,0.021092649972967288,0.8835238689993898,0.03740741931981573,0.9318792483957177,0.027591576976585427,0.8730724089088273,0.04838499905135952,0.8947871787306528,0.0031969523133591137,0.8096137945129256,0.005234511304374583,0.832270840060338,0.09807057161537462,0.9223164941512272,0.043763633256289354,0.8947871787306528,0.0031969523133591137,142016.0,61928.41189631783,157737.5,76709.06494346024
contrast,2,contrast_L2,0.9379521894515033,0.02109040510875337,0.8835257770677671,0.03740351543178032,0.931888438438398,0.027578580293588163,0.8730879467885038,0.04836302517119056,0.894801843083059,0.00321769083941532,0.8096379041694428,0.005268607507605398,0.832270840060338,0.09807057161537462,0.922321419136435,0.043765532736642444,0.894801843083059,0.00321769083941532,142015.5,61930.533216661395,157737.5,76709.06494346024
contrast,3,contrast_L3,0.9379569934798497,0.021098293492186296,0.883534578264648,0.03741784945707408,0.9318792483957177,0.027591576976585427,0.8730724089088273,0.04838499905135952,0.8947871787306528,0.0031969523133591137,0.8096137945129256,0.005234511304374583,0.832270840060338,0.09807057161537462,0.922324158554886,0.04377139219272332,0.8947871787306528,0.0031969523133591137,142014.5,61926.29057597427,157737.5,76709.06494346024
contrast,4,contrast_L4,0.9379509062292071,0.021078198308837084,0.8835230705361001,0.037381767973711365,0.931888438438398,0.027578580293588163,0.8730879467885038,0.04836302517119056,0.8947941373296697,0.0032285884203667593,0.8096253388815312,0.0052863775081851095,0.8322527507521411,0.0980449894703886,0.9223195145532045,0.04374962806175137,0.8947941373296697,0.0032285884203667593,142015.0,61929.8261098802,157737.5,76709.06494346024
contrast,5,contrast_L5,0.9379562907116028,0.02108526594529954,0.8835328724793994,0.03739468647627768,0.9318993934400368,0.02756308758169482,0.8731064694231634,0.04833683021004427,0.8948121666052754,0.003254085666448192,0.8096549825644623,0.005328300006624993,0.8322527507521411,0.0980449894703886,0.9223233068610486,0.04375399862966336,0.8948121666052754,0.003254085666448192,142017.0,61929.8261098802,157737.5,76709.06494346024
ghosting,1,ghosting_L1,0.9402003473415763,0.01865856190986212,0.8874416549086959,0.03322981554204903,0.9323533273593344,0.025747790730880023,0.8738238230277163,0.045189878728801654,0.894346987327818,0.004396336845572899,0.8089000686939677,0.007192612809652728,0.8292922708166188,0.10278534414436676,0.9245484241983446,0.04022427873180779,0.894346987327818,0.004396336845572899,143186.5,63264.13660597922,157737.5,76709.06494346024
ghosting,2,ghosting_L2,0.942210428435198,0.016120893726639572,0.8909548208371617,0.02881847441878095,0.9330795849472528,0.025146452262503866,0.8750748724365894,0.04419399994891029,0.8934140782295719,0.003934177431483793,0.8073722071255783,0.006425640167377743,0.8239943783858908,0.10637865909819785,0.9264277142647301,0.03583935284733217,0.8934140782295719,0.003934177431483793,144794.5,64698.14915822554,157737.5,76709.06494346024
ghosting,3,ghosting_L3,0.9424647096429991,0.013843783938941846,0.8913518981724771,0.02475895345484821,0.9331721521731047,0.024032240518174628,0.8751925069747976,0.04224212691605248,0.8913782187357793,0.0033924254225789247,0.80405021593504,0.005520463263121763,0.8189310993964807,0.10822657684757338,0.9255917137070797,0.03145792356585536,0.8913782187357793,0.0033924254225789247,146720.5,65870.53220143284,157737.5,76709.06494346024
ghosting,4,ghosting_L4,0.9391211127417755,0.011566592338631856,0.88534139287674,0.020555574790364205,0.9332598596632374,0.023471020024135484,0.8753247904189192,0.04126195691274042,0.8896476359210541,0.00236691283400649,0.8012341025789149,0.003839649693545455,0.8163968087708895,0.10738231866677267,0.9191519843936196,0.025156627480805802,0.8896476359210541,0.00236691283400649,149467.0,66501.97855703242,157737.5,76709.06494346024
ghosting,5,ghosting_L5,0.9225831958972337,0.002474375358024461,0.8562967151467687,0.004263136449745318,0.9319550666650193,0.02293036319904202,0.8730120635794707,0.040212584277650384,0.8869795148013919,0.002983485351670046,0.7969185759529953,0.004816695039141184,0.8120858148607082,0.10153568318248546,0.8956167378257534,0.0035376139620426476,0.8869795148013919,0.002983485351670046,155396.5,64606.225276671285,157737.5,76709.06494346024
noise,1,noise_L1,0.9378924351492799,0.02104528992497279,0.8834181806587392,0.03731927252349391,0.9319137638622397,0.027039300656143937,0.8731082004746952,0.047418957459139204,0.8941845320232171,0.0035894379948611557,0.8086295537190867,0.005870747721267714,0.8313435497632284,0.09752861937934618,0.922026334892218,0.04369228805996517,0.8941845320232171,0.0035894379948611557,142011.5,61879.62152841596,157737.5,76709.06494346024
noise,2,noise_L2,0.9375184029301944,0.021418047884348163,0.8827680909494378,0.037953802906601254,0.9321014285342181,0.025440154416674243,0.873368625375719,0.044628570898339465,0.8926951912214116,0.004096632297375849,0.8061997668527328,0.006682294018557365,0.8291156732849889,0.09920016358230961,0.9210506465015195,0.04430331080720152,0.8926951912214116,0.004096632297375849,141850.0,61659.711319466944,157737.5,76709.06494346024
noise,3,noise_L3,0.9371465869050417,0.021439811213554642,0.8821099553018799,0.03796580189484642,0.9319832382429083,0.023250617492904753,0.8730736374968375,0.04077662471309917,0.8900986088644408,0.005424121470646964,0.8019834007973228,0.008806347061186178,0.8252811371777939,0.09930802262093259,0.9199798867404065,0.04468232621623281,0.8900986088644408,0.005424121470646964,141811.5,61661.832639810505,157737.5,76709.06494346024
noise,4,noise_L4,0.9364084740198546,0.022576479017117818,0.880844876152106,0.03992402519545363,0.9320913745706417,0.021773855272621802,0.8732087748761521,0.03819332084067221,0.887445813389443,0.004401791177453554,0.7976793201402663,0.007112470625283413,0.8226559887626186,0.10103086021047904,0.9184469499510455,0.045982536175867186,0.887445813389443,0.004401791177453554,141522.5,61186.656882853145,157737.5,76709.06494346024
noise,5,noise_L5,0.9353269100488062,0.022960131095889968,0.8789478148217525,0.04052031422398555,0.9314729727667515,0.02146068171938821,0.872113116389639,0.03760019420149495,0.8834978015113134,0.004305661961979793,0.7913219288959796,0.006908026425176873,0.8179345438697011,0.10013255352929613,0.9166738104175738,0.04655121295635249,0.8834978015113134,0.004305661961979793,141146.0,60901.69285003497,157737.5,76709.06494346024
ringing,1,ringing_L1,0.937879733099982,0.02106397329798738,0.8833963046190473,0.03735152289845037,0.9319642395485083,0.02674066423274741,0.8731835897710386,0.046899341084955734,0.8944511590668276,0.003737313345845787,0.8090665503217322,0.006115558455430106,0.8313629151878745,0.09852631323204679,0.9220609534157249,0.043812478031224684,0.8944511590668276,0.003737313345845787,142006.5,61899.42051828918,157737.5,76709.06494346024
ringing,2,ringing_L2,0.9378418317967219,0.020847917147155268,0.8833215126824943,0.03696561588777066,0.9320836276612952,0.02655660217101329,0.873385074503554,0.04658673977226981,0.8934822559754876,0.002985698431983447,0.8074787246388835,0.004877089791971625,0.8292684642049174,0.09993157612742488,0.9220200031113757,0.04365537883879041,0.8934822559754876,0.002985698431983447,141998.0,61960.93880825242,157737.5,76709.06494346024
ringing,3,ringing_L3,0.937913358183176,0.020984622584869668,0.8834531693011162,0.037213116480263396,0.9327961448246829,0.02475401334621434,0.8745604718853885,0.043480816447855786,0.8918159212912755,0.0023299074294563203,0.8047583057305049,0.003794423567079516,0.826892478804239,0.10177343053064264,0.9217742586391463,0.04368426078015905,0.8918159212912755,0.0023299074294563203,141969.5,61982.8591184692,157737.5,76709.06494346024
ringing,4,ringing_L4,0.9374367520469558,0.02083465340308562,0.8826027986931055,0.03691392195430408,0.93292441480747,0.02325244044040545,0.8747265703451372,0.04085180892890222,0.8876136249869836,0.00031522520547141563,0.7979365130927871,0.0005094946499853694,0.8201193485941696,0.10536380378953226,0.9209572346793635,0.04354172117571728,0.8876136249869836,0.00031522520547141563,141817.0,62136.30128998668,157737.5,76709.06494346024
ringing,5,ringing_L5,0.9361001651089611,0.020638001246216668,0.8802299848500839,0.03647353585169508,0.9325658020659333,0.02074968926890905,0.8740058581798218,0.03642851177205297,0.8806539525219077,0.0002561309688594223,0.7867575955314141,0.00040884939475928123,0.8110269597665898,0.10647380225193025,0.9183770507875529,0.04346981805266311,0.8806539525219077,0.0002561309688594223,141450.0,62109.43123230159,157737.5,76709.06494346024
