condition,artifact,level,num_pilot_patients,clean_dice_WT,degraded_dice_WT,drop_dice_WT,clean_iou_WT,degraded_iou_WT,drop_iou_WT,clean_dice_TC,degraded_dice_TC,drop_dice_TC,clean_iou_TC,degraded_iou_TC,drop_iou_TC,clean_dice_ET,degraded_dice_ET,drop_dice_ET,clean_iou_ET,degraded_iou_ET,drop_iou_ET,clean_dice_class_1,degraded_dice_class_1,drop_dice_class_1,clean_iou_class_1,degraded_iou_class_1,drop_iou_class_1,clean_dice_class_2,degraded_dice_class_2,drop_dice_class_2,clean_iou_class_2,degraded_iou_class_2,drop_iou_class_2,clean_dice_class_3,degraded_dice_class_3,drop_dice_class_3,clean_iou_class_3,degraded_iou_class_3,drop_iou_class_3,clean_pred_WT_voxels,degraded_pred_WT_voxels,clean_true_WT_voxels,degraded_true_WT_voxels
noise_L6,noise,6,5,0.8868832379580462,0.8807069445631848,0.006176293394861476,0.8078335193631068,0.7972915884426671,0.010541930920439646,0.9034989574971007,0.9078877137654109,-0.0043887562683101455,0.8270230410399254,0.8332570421029635,-0.006234001063038064,0.8278372632154747,0.8079311315205613,0.019906131694913398,0.7173881193281191,0.6906597443149888,0.0267283750131303,0.607569013174923,0.5687512502461066,0.038817762928816335,0.48082177022866485,0.44283295419619045,0.03798881603247439,0.8469178957908339,0.835947668156767,0.010970227634066854,0.7494504943027266,0.7325029039019764,0.016947590400750223,0.8278372632154747,0.8079311315205613,0.019906131694913398,0.7173881193281191,0.6906597443149888,0.0267283750131303,113763.4,112958.4,125295.2,125295.2
noise_L7,noise,7,5,0.8868832379580462,0.8729045552348543,0.013978682723191915,0.8078335193631068,0.7861493220197687,0.02168419734333804,0.9034989574971007,0.9062283140303895,-0.0027293565332887626,0.8270230410399254,0.83031669908647,-0.0032936580465445786,0.8278372632154747,0.801589877330392,0.026247385885082686,0.7173881193281191,0.6810834450826786,0.03630467424544048,0.607569013174923,0.5623883832432142,0.04518062993170879,0.48082177022866485,0.4348359008268156,0.04598586940184923,0.8469178957908339,0.8252011428796274,0.02171675291120645,0.7494504943027266,0.7182000977362114,0.03125039656651518,0.8278372632154747,0.801589877330392,0.026247385885082686,0.7173881193281191,0.6810834450826786,0.03630467424544048,113763.4,111462.4,125295.2,125295.2
noise_L8,noise,8,5,0.8868832379580462,0.8617704786390951,0.025112759318951183,0.8078335193631068,0.7693426112564743,0.03849090810663247,0.9034989574971007,0.9007902918513249,0.002708665645775876,0.8270230410399254,0.8214285558403576,0.005594485199567845,0.8278372632154747,0.7979635433915602,0.029873719823914513,0.7173881193281191,0.674681719692763,0.04270639963535605,0.607569013174923,0.5506245890728435,0.05694442410207945,0.48082177022866485,0.42041022973189063,0.06041154049677422,0.8469178957908339,0.8090388191518436,0.03787907663899026,0.7494504943027266,0.6960585085712176,0.05339198573150894,0.8278372632154747,0.7979635433915602,0.029873719823914513,0.7173881193281191,0.674681719692763,0.04270639963535605,113763.4,108629.4,125295.2,125295.2
noise_L9,noise,9,5,0.8868832379580462,0.8452679112777017,0.04161532668034451,0.8078335193631068,0.7456149518126753,0.062218567550431425,0.9034989574971007,0.8956201083837169,0.007878849113383879,0.8270230410399254,0.8131369727189623,0.013886068320963063,0.8278372632154747,0.7947299614106156,0.0331073018048591,0.7173881193281191,0.6682952418916012,0.04909287743651791,0.607569013174923,0.5343403898924991,0.07322862328242385,0.48082177022866485,0.4005799238479881,0.08024184638067677,0.8469178957908339,0.7848146227187104,0.06210327307212349,0.7494504943027266,0.6645641603143557,0.08488633398837087,0.8278372632154747,0.7947299614106156,0.0331073018048591,0.7173881193281191,0.6682952418916012,0.04909287743651791,113763.4,104397.0,125295.2,125295.2
noise_L10,noise,10,5,0.8868832379580462,0.8265643258108192,0.060318912147227066,0.8078335193631068,0.7191509339808958,0.08868258538221097,0.9034989574971007,0.8871557704368742,0.016343187060226527,0.8270230410399254,0.7994167359968178,0.02760630504310757,0.8278372632154747,0.7871470968052828,0.04069016641019185,0.7173881193281191,0.656573978156942,0.060814141171177116,0.607569013174923,0.5224221505400181,0.0851468626349049,0.48082177022866485,0.3869766834081023,0.09384508682056253,0.8469178957908339,0.7593991328016725,0.08751876298916139,0.7494504943027266,0.6327062649343034,0.11674422936842321,0.8278372632154747,0.7871470968052828,0.04069016641019185,0.7173881193281191,0.656573978156942,0.060814141171177116,113763.4,100264.2,125295.2,125295.2
contrast_L6,contrast,6,5,0.8868832379580462,0.8931844979050872,-0.006301259947041005,0.8078335193631068,0.8155630224980532,-0.007729503134946469,0.9034989574971007,0.9065410049444669,-0.0030420474473661363,0.8270230410399254,0.8314961130169769,-0.00447307197705149,0.8278372632154747,0.8245911425982608,0.0032461206172138546,0.7173881193281191,0.7143532445894316,0.0030348747386874653,0.607569013174923,0.6057030290837907,0.0018659840911322556,0.48082177022866485,0.47934805141892606,0.0014737188097387888,0.8469178957908339,0.8553076224787348,-0.008389726687900945,0.7494504943027266,0.7589560192814264,-0.00950552497869983,0.8278372632154747,0.8245911425982608,0.0032461206172138546,0.7173881193281191,0.7143532445894316,0.0030348747386874653,113763.4,114955.4,125295.2,125295.2
contrast_L7,contrast,7,5,0.8868832379580462,0.8936473603376793,-0.006764122379633086,0.8078335193631068,0.8161482773031681,-0.008314757940061313,0.9034989574971007,0.9065726469884338,-0.0030736894913330204,0.8270230410399254,0.8315487086390144,-0.004525667599089012,0.8278372632154747,0.8248331692105768,0.0030040940048978726,0.7173881193281191,0.7147533445247968,0.002634774803322304,0.607569013174923,0.6069023530615592,0.0006666601133638039,0.48082177022866485,0.4805602408251758,0.00026152940348905807,0.8469178957908339,0.8558902074288494,-0.008972311638015484,0.7494504943027266,0.7596274044241748,-0.010176910121448168,0.8278372632154747,0.8248331692105768,0.0030040940048978726,0.7173881193281191,0.7147533445247968,0.002634774803322304,113763.4,114993.0,125295.2,125295.2
contrast_L8,contrast,8,5,0.8868832379580462,0.8945655677580155,-0.007682329799969301,0.8078335193631068,0.8173075641569275,-0.009474044793820746,0.9034989574971007,0.9066868404934951,-0.0031878829963943867,0.8270230410399254,0.8317432041199077,-0.0047201630799822425,0.8278372632154747,0.8252808055920685,0.002556457623406172,0.7173881193281191,0.7154991872612804,0.001888932066838711,0.607569013174923,0.6089631055580883,-0.0013940923831653462,0.48082177022866485,0.4826435890588895,-0.0018218188302246419,0.8469178957908339,0.857020851195035,-0.010102955404201142,0.7494504943027266,0.7609188551241619,-0.01146836082143532,0.8278372632154747,0.8252808055920685,0.002556457623406172,0.7173881193281191,0.7154991872612804,0.001888932066838711,113763.4,115073.6,125295.2,125295.2
contrast_L9,contrast,9,5,0.8868832379580462,0.8968104359891482,-0.00992719803110198,0.8078335193631068,0.8201887446682005,-0.012355225305093698,0.9034989574971007,0.9071394203512305,-0.003640462854129778,0.8270230410399254,0.8325112469154389,-0.005488205875513463,0.8278372632154747,0.8261793119154701,0.0016579513000045676,0.7173881193281191,0.7170250012175515,0.0003631181105675507,0.607569013174923,0.6111807779193421,-0.0036117647444191547,0.48082177022866485,0.4849024357919881,-0.00408066556332326,0.8469178957908339,0.859801936349449,-0.01288404055861514,0.7494504943027266,0.764157894208999,-0.014707399906272456,0.8278372632154747,0.8261793119154701,0.0016579513000045676,0.7173881193281191,0.7170250012175515,0.0003631181105675507,113763.4,115293.2,125295.2,125295.2
contrast_L10,contrast,10,5,0.8868832379580462,0.897112896097059,-0.010229658139012776,0.8078335193631068,0.8205361435464219,-0.012702624183315137,0.9034989574971007,0.9072728103487793,-0.0037738528516785275,0.8270230410399254,0.8327334173979398,-0.005710376358014413,0.8278372632154747,0.8261144226146108,0.0017228406008639174,0.7173881193281191,0.7171059632135796,0.0002821561145395224,0.607569013174923,0.6112489187817023,-0.0036799056067793323,0.48082177022866485,0.48500267396952745,-0.004180903740862607,0.8469178957908339,0.8600050656121798,-0.013087169821345945,0.7494504943027266,0.764360387097859,-0.01490989279513244,0.8278372632154747,0.8261144226146108,0.0017228406008639174,0.7173881193281191,0.7171059632135796,0.0002821561145395224,113763.4,115398.6,125295.2,125295.2
ringing_L6,ringing,6,5,0.8868832379580462,0.8835117915450406,0.0033714464130056854,0.8078335193631068,0.8026686596141885,0.005164859748918227,0.9034989574971007,0.9073323468320276,-0.003833389334926829,0.8270230410399254,0.8326828376920586,-0.005659796652133231,0.8278372632154747,0.8034635039194169,0.024373759296057784,0.7173881193281191,0.6808011328571191,0.036586986471000005,0.607569013174923,0.5785742805276539,0.02899473264726904,0.48082177022866485,0.44021366042074195,0.0406081098079229,0.8469178957908339,0.8405342276425227,0.00638366814831115,0.7494504943027266,0.73999537523277,0.009455119069956552,0.8278372632154747,0.8034635039194169,0.024373759296057784,0.7173881193281191,0.6808011328571191,0.036586986471000005,113763.4,113819.6,125295.2,125295.2
ringing_L7,ringing,7,5,0.8868832379580462,0.885570180659369,0.001313057298677256,0.8078335193631068,0.8040582419889037,0.0037752773742030232,0.9034989574971007,0.9027756018630413,0.0007233556340594527,0.8270230410399254,0.8242973190037199,0.002725722036205469,0.8278372632154747,0.7732016661694556,0.05463559704601906,0.7173881193281191,0.6397816105637951,0.07760650876432396,0.607569013174923,0.5294543107458292,0.0781147024290938,0.48082177022866485,0.3941395104527444,0.08668225977592042,0.8469178957908339,0.8394999180614857,0.0074179777293481575,0.7494504943027266,0.7357929714926084,0.013657522810118228,0.8278372632154747,0.7732016661694556,0.05463559704601906,0.7173881193281191,0.6397816105637951,0.07760650876432396,113763.4,115854.0,125295.2,125295.2
ringing_L8,ringing,8,5,0.8868832379580462,0.8780582154958221,0.008825022462224164,0.8078335193631068,0.7872810057188484,0.020552513644258363,0.9034989574971007,0.8720999538484276,0.031399003648673096,0.8270230410399254,0.7741485189940838,0.05287452204584164,0.8278372632154747,0.6944126303252016,0.13342463289027306,0.7173881193281191,0.5405918136066583,0.17679630572146077,0.607569013174923,0.4063309567298309,0.20123805644509207,0.48082177022866485,0.28036471219951725,0.2004570580291476,0.8469178957908339,0.8248543104559983,0.022063585334835545,0.7494504943027266,0.7070486229756101,0.04240187132711648,0.8278372632154747,0.6944126303252016,0.13342463289027306,0.7173881193281191,0.5405918136066583,0.17679630572146077,113763.4,127516.8,125295.2,125295.2
ringing_L9,ringing,9,5,0.8868832379580462,0.8317367937411804,0.055146444216865875,0.8078335193631068,0.7193725260807289,0.08846099328237789,0.9034989574971007,0.7817241301414585,0.12177482735564227,0.8270230410399254,0.6497531541117103,0.1772698869282151,0.8278372632154747,0.6327134353692156,0.19512382784625903,0.7173881193281191,0.46960795978095227,0.2477801595471668,0.607569013174923,0.23028761526022135,0.3772813979147016,0.48082177022866485,0.1411974075953397,0.3396243626333252,0.8469178957908339,0.7335377770972457,0.11338011869358822,0.7494504943027266,0.5858623701963863,0.16358812410634027,0.8278372632154747,0.6327134353692156,0.19512382784625903,0.7173881193281191,0.46960795978095227,0.2477801595471668,113763.4,139005.6,125295.2,125295.2
ringing_L10,ringing,10,5,0.8868832379580462,0.6382872500792541,0.2485959878787921,0.8078335193631068,0.49673575773961537,0.3110977616234914,0.9034989574971007,0.5094452275385737,0.39405372995852705,0.8270230410399254,0.3602688875630319,0.46675415347689353,0.8278372632154747,0.49941849593555654,0.32841876727991814,0.7173881193281191,0.33508957532065015,0.38229854400746893,0.607569013174923,0.04375804659067959,0.5638109665842433,0.48082177022866485,0.023097132819868627,0.4577246374087962,0.8469178957908339,0.45400954858191367,0.3929083472089202,0.7494504943027266,0.303071634499561,0.4463788598031656,0.8278372632154747,0.49941849593555654,0.32841876727991814,0.7173881193281191,0.33508957532065015,0.38229854400746893,113763.4,206966.6,125295.2,125295.2
