epoch,completed_train_batches,train_loss,train_minutes,peak_gpu_memory_gb,tumor_centered_patches,mixed_random_patches,tumor_free_patches,mixed_random_fallback_patches,tumor_free_search_attempts_mean,validation_performed,val_dice_WT,val_iou_WT,val_dice_TC,val_iou_TC,val_dice_ET,val_iou_ET,val_macro_dice,val_pred_WT_voxels_mean,val_true_WT_voxels_mean,validation_minutes,validation_metrics_path,best_epoch_so_far,best_val_macro_dice_so_far,learning_rate
1,235,1.8422278267271974,2.125318784856548,3.338818073272705,128,53,52,2,25.557692307692307,True,0.4788779272747158,0.34083059951484523,0.4590071413949607,0.32722698040835485,0.5014783306931636,0.373480045231079,0.4797877997876134,255311.7627118644,99129.2372881356,3.4187094850155213,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_001_metrics.csv,1,0.4797877997876134,0.0001
2,235,1.4753689897821305,2.1567172300691406,3.4102134704589844,115,58,59,3,35.644067796610166,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,1,0.4797877997876134,0.0001
3,235,1.2818813793202664,2.1471788423446316,3.412181854248047,100,64,66,5,37.81818181818182,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,1,0.4797877997876134,0.0001
4,235,1.1312865815264113,2.096642345065872,3.410067081451416,99,70,64,2,38.21875,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,1,0.4797877997876134,0.0001
5,235,0.9799203040752005,2.0526950595589977,3.408473014831543,123,58,52,2,26.26923076923077,True,0.6924998478100118,0.5472814573336179,0.7000917613773596,0.5806950237751567,0.6966064112368813,0.5792890956394389,0.6963993401414177,129214.67796610169,99129.2372881356,3.164761517972996,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_005_metrics.csv,5,0.6963993401414177,0.0001
6,235,0.905266066561354,2.07143823740383,3.4125547409057617,121,50,62,2,25.193548387096776,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,5,0.6963993401414177,0.0001
7,235,0.8318490180563419,2.0676887100252013,3.409170627593994,129,52,51,3,32.21568627450981,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,5,0.6963993401414177,0.0001
8,235,0.8017980562879684,2.048112431168556,3.4052062034606934,124,57,53,1,31.9811320754717,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,5,0.6963993401414177,0.0001
9,235,0.7724311553417368,2.071158799622208,3.4090800285339355,116,59,58,2,25.17241379310345,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,5,0.6963993401414177,0.0001
10,235,0.7555460362992388,2.0838233422487975,3.408083915710449,105,68,58,4,22.844827586206897,True,0.8036791925760467,0.694160773800577,0.745219974223369,0.630867555608799,0.7290954587765373,0.6168536956779681,0.7593315418586509,113892.25423728813,99129.2372881356,3.1609637484885753,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_010_metrics.csv,10,0.7593315418586509,0.0001
11,235,0.6928010841633411,2.0805223745293917,3.4094343185424805,126,57,50,2,28.06,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,10,0.7593315418586509,0.0001
12,235,0.7187943309545517,2.0821284553346535,3.407740592956543,115,49,68,3,34.35294117647059,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,10,0.7593315418586509,0.0001
13,235,0.6804871417740558,2.0691476916894316,3.409022808074951,122,57,53,3,48.0,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,10,0.7593315418586509,0.0001
14,235,0.6621844441332716,2.073675240917752,3.4074416160583496,113,59,61,2,36.42622950819672,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,10,0.7593315418586509,0.0001
15,235,0.6476711809635163,2.041167858398209,3.4071297645568848,127,58,48,2,16.333333333333332,True,0.8725009579045244,0.7818364418674246,0.779940013272106,0.6785699365623263,0.7344203439239425,0.626362025882291,0.7956204383668576,97718.49152542373,99129.2372881356,3.1596758453796308,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_015_metrics.csv,15,0.7956204383668576,0.0001
16,235,0.6671708316244978,2.0306601437429586,3.408153533935547,109,59,66,1,32.60606060606061,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,15,0.7956204383668576,0.0001
17,235,0.6692005045236425,2.0350946417388815,3.4088239669799805,116,53,62,4,29.112903225806452,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,15,0.7956204383668576,0.0001
18,235,0.631765251717669,2.07760302045693,3.4093074798583984,116,54,64,1,45.5,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,15,0.7956204383668576,0.0001
19,235,0.6407845579563303,2.0132461695621413,3.4079103469848633,118,56,60,1,28.433333333333334,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,15,0.7956204383668576,0.0001
20,235,0.6321594131436754,2.023233535202841,3.4120283126831055,122,56,56,1,40.589285714285715,True,0.8876739601856285,0.8040441741124658,0.8036474662339487,0.7026474109459399,0.7616566153442726,0.6560129462157578,0.8176593472546166,95952.32203389831,99129.2372881356,3.1492870640320083,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_020_metrics.csv,20,0.8176593472546166,0.0001
21,235,0.6206916662606787,2.074601828244825,3.408778667449951,127,55,53,0,45.660377358490564,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,20,0.8176593472546166,0.0001
22,235,0.577755557793252,2.0574666884727777,3.407291889190674,124,62,49,0,34.775510204081634,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,20,0.8176593472546166,0.0001
23,235,0.6174666096238379,2.084900318955382,3.4085898399353027,121,56,57,1,44.14035087719298,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,20,0.8176593472546166,0.0001
24,235,0.6232424296597217,2.0676747765081624,3.4093270301818848,102,78,55,0,38.54545454545455,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,20,0.8176593472546166,0.0001
25,235,0.5812182468619752,2.0793124347925187,3.408402442932129,117,67,50,1,27.72,True,0.8884509374189654,0.805959639617642,0.8169831736949419,0.7297118647175755,0.7569573705044688,0.6577340235404949,0.8207971605394587,98437.45762711864,99129.2372881356,3.162846177723259,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_025_metrics.csv,25,0.8207971605394587,0.0001
26,235,0.5593339127428988,2.033151425421238,3.405646324157715,129,55,48,3,29.958333333333332,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,25,0.8207971605394587,0.0001
27,235,0.5692416473271998,2.023389225266874,3.411349296569824,119,65,50,1,25.04,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,25,0.8207971605394587,0.0001
28,235,0.5758884242874511,2.036803032582005,3.4075112342834473,132,49,53,1,33.62264150943396,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,25,0.8207971605394587,0.0001
29,235,0.5970336375718421,1.9753505687229336,3.4067907333374023,112,56,66,1,28.363636363636363,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,25,0.8207971605394587,0.0001
30,235,0.5728129930318671,1.9853804856228332,3.4082236289978027,123,62,48,2,32.4375,True,0.8027744713416585,0.6845992100051844,0.7810348150305775,0.668288767593879,0.7549547783478394,0.6519569373981602,0.7795880215733585,122584.15254237287,99129.2372881356,3.1567310763212544,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_030_metrics.csv,25,0.8207971605394587,0.0001
31,235,0.6124661949403742,1.9926586722644666,3.407911777496338,111,53,67,4,28.55223880597015,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,25,0.8207971605394587,0.0001
32,235,0.5765888814913466,2.026264698182543,3.407911777496338,116,62,55,2,35.50909090909091,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,25,0.8207971605394587,0.0001
33,235,0.5923186285381622,2.0384650844459733,3.407191276550293,118,60,56,1,46.17857142857143,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,25,0.8207971605394587,0.0001
34,235,0.5443937985503927,2.0385856425079205,3.4087934494018555,124,63,46,2,35.32608695652174,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,25,0.8207971605394587,0.0001
35,235,0.5656926857030138,2.0261508947548768,3.4087400436401367,124,52,56,3,24.964285714285715,True,0.8999066757098994,0.8227499366392758,0.8057346372856827,0.7011903894124624,0.7682202808583385,0.6686652411569417,0.8246205312846402,97964.03389830509,99129.2372881356,3.172816025124242,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_035_metrics.csv,35,0.8246205312846402,0.0001
36,235,0.5718092210749363,2.0671938829123975,3.4082236289978027,103,73,59,0,33.271186440677965,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,35,0.8246205312846402,0.0001
37,235,0.5457121546281145,2.059977859786401,3.4073119163513184,110,71,53,1,33.45283018867924,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,35,0.8246205312846402,0.0001
38,235,0.5817045629658597,2.0838388333407543,3.4106926918029785,114,50,69,2,21.82608695652174,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,35,0.8246205312846402,0.0001
39,235,0.4967634430908142,2.0700692015389603,3.4068899154663086,133,62,37,3,26.89189189189189,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,35,0.8246205312846402,0.0001
40,235,0.5658061177806651,2.10376352040718,3.4071602821350098,117,61,54,3,44.611111111111114,True,0.872504942581556,0.7814579189835442,0.7835890216147391,0.6783067572564887,0.754758560820616,0.6551562848180713,0.8036175083389704,93599.67796610169,99129.2372881356,3.1371031783831618,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_040_metrics.csv,35,0.8246205312846402,0.0001
41,235,0.5593597002803011,2.10942575254788,3.4069604873657227,112,57,61,5,40.08196721311475,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,35,0.8246205312846402,0.0001
42,235,0.5514193802120838,2.091302577002595,3.4087419509887695,126,55,53,1,41.18867924528302,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,35,0.8246205312846402,0.0001
43,235,0.5454097896497301,2.056230719635884,3.408267021179199,126,52,56,1,26.339285714285715,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,35,0.8246205312846402,0.0001
44,235,0.5566377563679472,2.090366608618448,3.4064559936523438,119,57,57,2,38.175438596491226,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,35,0.8246205312846402,0.0001
45,235,0.5678937094008669,2.0784060170874,3.4120283126831055,116,54,64,1,34.46875,True,0.9025885406448676,0.8279448244169135,0.8311756644227544,0.7438496441422919,0.7652508918513945,0.6672578519519418,0.8330050323063388,99666.79661016949,99129.2372881356,3.13699796286722,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_045_metrics.csv,45,0.8330050323063388,0.0001
46,235,0.5866264560755263,2.085366235456119,3.410142421722412,108,60,66,1,42.86363636363637,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,45,0.8330050323063388,0.0001
47,235,0.6154937725434912,2.070248425627748,3.411294937133789,103,62,68,2,27.544117647058822,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,45,0.8330050323063388,0.0001
48,235,0.5217268684125961,2.0622415375274916,3.410933017730713,118,65,50,2,34.42,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,45,0.8330050323063388,0.0001
49,235,0.5476935174553952,2.0651593004974225,3.4092817306518555,117,61,54,3,32.7962962962963,False,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,45,0.8330050323063388,0.0001
50,235,0.5427284641785824,2.048042914023002,3.407721519470215,123,61,47,4,34.723404255319146,True,0.9042401660846936,0.8304778380668756,0.8240183102923355,0.7394161350695911,0.7570808689326924,0.6598526389200686,0.828446448436574,100129.86440677966,99129.2372881356,3.123923384056737,/home/xfh25/brats_segmentation_project/results/34a_swin_unetr_full_timing_20260719_validation_epoch_050_metrics.csv,45,0.8330050323063388,0.0001
